row_index,sheet,title_or_first_col,fit_score(0-10),matched_areas,risk(0-10),short_description_snippet
38,Sheet1,40,3.15,"signal, cv, data",0, 40 ministry of earth sciences (moes) floatchat - ai-powered conversational interface for argo ocean data discovery and visualization software sih25040 miscellaneous sheet1...
24,Sheet1,26,2.18,"ml, robotics_iot",1, 26 ministry of ayush develop api code to integrate namaste and or the international classification of diseases (icd-11) via the traditional medicine module 2 (tm2) into existing emr systems that comply with electronic health record (ehr) standards for india. software sih25026 me...
47,Sheet1,49,2.1,"security, robotics_iot",1, 49 government of odisha al-driven public health chatbot for disease awareness software sih25049 medtech / biotech / healthtech sheet1...
45,Sheet1,47,2.1,"security, robotics_iot",1, 47 government of odisha disaster response drone for remote areas hardware sih25047 robotics and drones sheet1...
71,Sheet1,73,1.85,"mobile, nlp",1, 73 ministry of youth affairs and sports al-powered mobile platform for democratizing sports talent assessment software sih25073 fitness & sports sheet1...
3,Sheet1,5,1.21,ml,1," 5 ministry of fisheries, animal husbandry & dairying lmage based animal type classification for cattle and buffaloes software sih25005 agriculture, foodtech & rural development sheet1..."
34,Sheet1,36,1.21,ml,3, 36 ministry of earth sciences (moes) development of sensor for detection of microplastics hardware sih25036 miscellaneous sheet1...
82,Sheet1,84,1.21,ml,1, 84 government of kerala solution for non-revenue loss in water supply solution to improve awareness in water conservation treatment of waste water and reuse for domestic purposes hardware sih25085 miscellaneous sheet1...
56,Sheet1,58,1.21,ml,1," 58 ministry of consumer affairs, food & public distribution (moca,f&pd) detection and prevention of tampering in weighing and measuring instruments hardware sih25058 miscellaneous sheet1..."
91,Sheet1,93,1.21,ml,1," 93 autodesk students are tasked with designing a 4-story commercial office building using revit architecture and revit structure , ensuring effective integration between architectural and structural models in a bim environment.(the size of the plot can be assumed by the students..."
89,Sheet1,91,1.21,ml,1," 91 autodesk • students are supposed to use fusion software to generate nc code with machine details & tool library for any industrial component. • students should possess technical skills in areas such as cad/cam software, g-code programming, toolpath optimization, and machining..."
93,Sheet1,95,1.21,ml,1, 95 mathworks india pvt. ltd. accelerating high-fidelity road network modeling for indian traffic simulations. software sih25100 smart education sheet1...
35,Sheet1,37,1.13,cv,1, 37 ministry of earth sciences (moes) development of a low-cost camera-based automated beach sand grain size mapping system hardware sih25037 miscellaneous sheet1...
29,Sheet1,31,1.13,cv,1, 31 government of jharkhand crowdsourced civic lssue reporting and resolution system software sih25031 clean & green technology sheet1...
28,Sheet1,30,1.13,cv,1," 30 government of jharkhand al-based crop recommendation for farmers software sih25030 agriculture, foodtech & rural development sheet1..."
27,Sheet1,29,1.13,cv,1, 29 government of jharkhand authenticity validator for academia software sih25029 smart education sheet1...
26,Sheet1,28,1.13,cv,1, 28 government of jharkhand smart classroom & timetable scheduler software sih25028 smart education sheet1...
25,Sheet1,27,1.13,security,1," 27 ministry of ayush develop a blockchain-based system for botanical traceability of ayurvedic herbs, including geo-tagging from the point of collection (farmers/wild collectors) to the final ayurvedic formulation label. software sih25027 blockchain & cybersecurity sheet1..."
30,Sheet1,32,1.13,cv,1, 32 government of jharkhand development of a smart digital platform to promote eco & cultural tourism in jharkhand software sih25032 travel & tourism sheet1...
64,Sheet1,66,1.13,security,1, 66 ministry of jal shakti development of an al-driven chatbot for ingres as a virtuall assistant software sih25066 smart automation sheet1...
97,Sheet1,99,1.13,security,1, 99 government of rajasthan language agnostic chatbot software sih25104 smart education sheet1...
33,Sheet1,35,1.05,nlp,1, 35 ministry of corporate affairs sentiment analysis of comments received through e-consultation module software sih25035 miscellaneous sheet1...
85,Sheet1,87,0.97,robotics_iot,1, 87 government of jammu and kashmir development of a digital mental health and psychological support system for students in higher education software sih25092 medtech / biotech / healthtech sheet1...
41,Sheet1,43,0.97,robotics_iot,3, 43 ministry of earth sciences (moes) embedded intelligent microscopy system for identification and counting of microscopic marine organisms hardware sih25043 smart automation sheet1...
80,Sheet1,82,0.97,robotics_iot,1, 82 government of kerala digital health record management system for migrant workers in kerala aligned with sustainable development goals. software sih25083 medtech / biotech / healthtech sheet1...
22,Sheet1,24,0.97,robotics_iot,1," 24 ministry of ayush comprehensive cloud-based practice management & nutrient analysis software for ayurvedic dietitians, tailored for ayurveda-focused diet plans software sih25024 medtech / biotech / healthtech sheet1..."
21,Sheet1,23,0.97,robotics_iot,1, 23 ministry of ayush ayursutra- panchakarma patient management and therapy scheduling software software sih25023 medtech / biotech / healthtech sheet1...
23,Sheet1,25,0.97,robotics_iot,1, 25 ministry of ayush e tongue for dravya identification hardware sih25025 medtech / biotech / healthtech sheet1...
16,Sheet1,18,0.97,robotics_iot,1, 18 government of punjab telemedicine access for rural healthcare in nabha software sih25018 medtech / biotech / healthtech sheet1...
4,Sheet1,6,0.81,mobile,1," 6 ministry of fisheries, animal husbandry & dairying development of a digital farm management portal for lmplementing biosecurity ileasures in pig and poultry farms software sih25006 agriculture, foodtech & rural development sheet1..."
79,Sheet1,81,0.81,mobile,1, 81 government of kerala development of a travel related software app that can be installed on mobile phones that could capture trip related information software sih25082 travel & tourism sheet1...
37,Sheet1,39,0.73,data,1, 39 ministry of earth sciences (moes) integrated platform for crowdsourced ocean hazard reporting and social media analytics software sih25039 disaster management sheet1...
14,Sheet1,16,0.73,data,1, 16 government of punjab automated student attendance monitoring and analytics system for colleges software sih25016 smart education sheet1...
69,Sheet1,71,0,,1, 71 ministry of mines al-based rockfall prediction and alert system for open-pit mines software sih25071 disaster management sheet1...
75,Sheet1,77,0,,1, 77 government of kerala a hardware that can detect and prevent unauthorized use of electric fences hardware sih25077 smart automation sheet1...
76,Sheet1,78,0,,1, 78 government of kerala software other than a circuit breaker that can be used to detect and turn off lt lines when the line breaks software sih25079 disaster management sheet1...
70,Sheet1,72,0,,1, 72 ministry of mines design and implementation of solar-powered dewatering in mining operations. hardware sih25072 renewable / sustainable energy sheet1...
65,Sheet1,67,0,,1, 67 ministry of jal shakti proposal for design and development of application or heavy metal pollution indices software sih25067 miscellaneous sheet1...
66,Sheet1,68,0,,1, 68 ministry of jal shakti real time groundwater resource evaluation using dwlr data software sih25068 miscellaneous sheet1...
72,Sheet1,74,0,,1," 74 government of kerala ai-powered personal farming assistant for kerala farmers software sih25074 agriculture, foodtech & rural development sheet1..."
73,Sheet1,75,0,,1," 75 government of kerala gamified platform to promote sustainable farming practices software sih25075 agriculture, foodtech & rural development sheet1..."
67,Sheet1,69,0,,1, 69 ministry of mines al-driven life cycle assessment (lca) tool for advancing circulanty and sustainability in metallurgy and mining software sih25069 miscellaneous sheet1...
68,Sheet1,70,0,,1, 70 ministry of mines secure data wiping for trustworthy it asset recycling software sih25070 miscellaneous sheet1...
74,Sheet1,76,0,,1," 76 government of kerala ai-based farmer query support and advisory system software sih25076 agriculture, foodtech & rural development sheet1..."
0,Sheet1,2,0,,1," 2 ministry of development of north eastern region smart tourist safety monitoring & incident response system using al, geo-fencing, and blockchain-based digital id software sih25002 travel & tourism sheet1..."
77,Sheet1,79,0,,1, 79 government of kerala document overload at kochi metro rail limited (kmrl)-an automated solution software sih25080 smart automation sheet1...
78,Sheet1,80,0,,1, 80 government of kerala ai-driven train induction planning & scheduling for kochi metro rail limited (kmrl) software sih25081 smart automation sheet1...
81,Sheet1,83,0,,1, 83 government of kerala earthquake stabilised dialysis system for patient safety during seismic events. hardware sih25084 disaster management sheet1...
83,Sheet1,85,0,,1, 85 government of kerala grey water management and reuse wet land management water conservation hardware sih25090 clean & green technology sheet1...
62,Sheet1,64,0,,1, 64 government of kerala improving the renewable energy hosting capacity in distribution feeders improving the power quality of distribution network during high re injection hardware sih25064 renewable / sustainable energy sheet1...
84,Sheet1,86,0,,1, 86 government of jammu and kashmir ai-based timetable generation system aligned with nep 2020 for multidisciplinary education structures software sih25091 smart automation sheet1...
86,Sheet1,88,0,,1, 88 government of jammu and kashmir centralised digital platform for comprehensive student activity record in heis software sih25093 smart education sheet1...
87,Sheet1,89,0,,1, 89 government of jammu and kashmir one-stop personalized career & education advisor software sih25094 smart education sheet1...
88,Sheet1,90,0,,1," 90 autodesk research and redesign a sport equipment commonly found in sport industry and utilize fusion software to reimagine its design. students can use fusion features such as generative design, topology optimization, additive build etc. the redesigned component should showca..."
90,Sheet1,92,0,,1, 92 autodesk research and develop a design on autonomous small precision focused machine for planting crops or weeding. software sih25097 smart education sheet1...
92,Sheet1,94,0,,3," 94 mathworks india pvt. ltd. ai-powered monitoring of crop health, soil condition, and pest risks using multispectral/hyperspectral imaging and sensor data. software sih25099 smart education sheet1..."
94,Sheet1,96,0,,1, 96 government of rajasthan remote classroom for rural colleges software sih25101 smart education sheet1...
95,Sheet1,97,0,,1, 97 government of rajasthan ai-based drop-out prediction and counseling system software sih25102 smart automation sheet1...
96,Sheet1,98,0,,1, 98 government of rajasthan erp-based integrated student management system software sih25103 smart automation sheet1...
98,Sheet1,100,0,,1," 100 aicte develop computer programs (in any language, preferably python) to identify the design principles behind the kolam designs and recreate the kolams. software sih12507 heritage & culture sheet1..."
63,Sheet1,65,0,,1, 65 ministry of jal shakti designing and development of an application for on spot assessment of roof top rain water harvesting and artificial recharge potential and size of the rtrwh and ar. software sih25065 smart automation sheet1...
50,Sheet1,52,0,,1, 52 government of odisha ar-based cultural heritage preservation platform software sih25052 heritage & culture sheet1...
61,Sheet1,63,0,,1, 63 government of kerala developing a cost effective solution for detecting the breakage of low voltage ac distribution over head conductors hardware sih25063 disaster management sheet1...
12,Sheet1,14,0,,1, 14 government of punjab waste segregation monitoring system for urban local bodies hardware sih25014 clean & green technology sheet1...
31,Sheet1,33,0,,1, 33 ministry of corporate affairs al-based smart allocation engine for pm internship scheme software sih25033 smart automation sheet1...
20,Sheet1,22,0,,1, 22 ministry of railways maximizing section throughput using al-powered precise train traffic control software sih25022 transportation & logistics sheet1...
19,Sheet1,21,0,,1, 21 ministry of railways ai based development of laser based qr code marking on 'track fittings on indian railways'. hardware sih25021 transportation & logistics sheet1...
18,Sheet1,20,0,,1, 20 ministry of railways development of indigenous contactless integrated track monitoring systems (itms) for track recording on indian railways hardware sih25020 smart automation sheet1...
17,Sheet1,19,0,,1, 19 government of punjab digital learning platform for rural school students in nabha software sih25019 smart education sheet1...
15,Sheet1,17,0,,1, 17 government of punjab digital platform for centralized alumni data management and engagement software sih25017 smart education sheet1...
13,Sheet1,15,0,,1," 15 government of punjab intelligent pesticide sprinkling system determined by the infection level of a plant hardware sih25015 agriculture, foodtech & rural development sheet1..."
11,Sheet1,13,0,,1, 13 government of punjab real-time public transport tracking for small cities software sih25013 transportation & logistics sheet1...
60,Sheet1,62,0,,1," 62 government of sikkim implementation of smart agriculture for efficient cultivation in hilly regions hardware sih25062 agriculture, foodtech & rural development sheet1..."
10,Sheet1,12,0,,1, 12 government of punjab automated attendance system for rural schools software sih25012 smart education sheet1...
9,Sheet1,11,0,,1, 11 government of punjab smart curriculum activity & attendance app software sih25011 smart education sheet1...
8,Sheet1,10,0,,1," 10 government of punjab smart crop advisory system forsmall and marginal farmers software sih25010 agriculture, foodtech & rural development sheet1..."
7,Sheet1,9,0,,1, 9 government of punjab gamified environmental education platform for schools and colleges software sih25009 smart education sheet1...
6,Sheet1,8,0,,1, 8 government of punjab disaster preparedness and response education system for schools and colleges software sih25008 disaster management sheet1...
5,Sheet1,7,0,,1," 7 ministry of fisheries, animal husbandry & dairying development of a digital farm management portal for monitoring aximum residue limits (mrl) and antimicrobial usage (amu) in livestock software sih25007 agriculture, foodtech & rural development sheet1..."
2,Sheet1,4,0,,1," 4 ministry of fisheries, animal husbandry & dairying lmage based breed recognition for cattle and buffaloes of india software sih25004 agriculture, foodtech & rural development sheet1..."
32,Sheet1,34,0,,1, 34 ministry of corporate affairs al-based internship recommendation engine for pm internship scheme software sih25034 smart education sheet1...
36,Sheet1,38,0,,1, 38 ministry of earth sciences (moes) blockchain-based blue carbon registry and mrv system software sih25038 clean & green technology sheet1...
39,Sheet1,41,0,,1," 41 ministry of earth sciences (moes) ai-driven unified data platform for oceanographic, fisheries, and molecular biodiversity insights software sih25041 renewable / sustainable energy sheet1..."
40,Sheet1,42,0,,2, 42 ministry of earth sciences (moes) identifying taxonomy and assessing biodiversity from edna datasets software sih25042 miscellaneous sheet1...
59,Sheet1,61,0,,1, 61 government of sikkim digitize and showcase monasteries of sikkim for tourism and cultural preservation software sih25061 travel & tourism sheet1...
58,Sheet1,60,0,,1, 60 ministry of social justice & empowerment (mosje) real life solutions for waste management. software sih25060 clean & green technology sheet1...
57,Sheet1,59,0,,1, 59 ministry of social justice & empowerment (mosje) enhancing student awareness on difference between aadhaar linked and direct beneficiary transfer(dbt) enabled aadhaar seeded bank account. software sih25059 miscellaneous sheet1...
55,Sheet1,57,0,,1," 57 ministry of consumer affairs, food & public distribution (moca,f&pd) automated compliance checker for legal metrology declarations on e-commerce platforms hardware sih25057 miscellaneous sheet1..."
54,Sheet1,56,0,,1," 56 ministry of consumer affairs, food & public distribution (moca,f&pd) to explore new/altermative assaying methods to the fire assay method for testing of gold jewellery and artefacts through non-destructive testing hardware sih25056 miscellaneous sheet1..."
53,Sheet1,55,0,,1," 55 ministry of consumer affairs, food & public distribution (moca,f&pd) automated specimen preparation system for testing of cable samples as per is 10810 and is 7098. hardware sih25055 miscellaneous sheet1..."
52,Sheet1,54,0,,1," 54 ministry of consumer affairs, food & public distribution (moca,f&pd) automated high-current short-circuit test system for mcb to comply with iec 60898-1:2015 hardware sih25054 smart automation sheet1..."
51,Sheet1,53,0,,1," 53 ministry of consumer affairs, food & public distribution (moca,f&pd) improved onion storage technology for enhancing shelf life of onions hardware sih25053 agriculture, foodtech & rural development sheet1..."
1,Sheet1,3,0,,1, 3 ministry of development of north eastern region low-cost smart transportation solution for agri produce from remote farms to nearest motorable road in ner region hardware sih25003 transportation & logistics sheet1...
49,Sheet1,51,0,,1, 51 government of odisha renewable energy monitoring system for microgrids hardware sih25051 renewable / sustainable energy sheet1...
48,Sheet1,50,0,,1, 50 government of odisha smart traffic management systern for urban congestion software sih25050 transportation & logistics sheet1...
46,Sheet1,48,0,,1, 48 government of odisha gamified learning platform for rural education software sih25048 smart education sheet1...
44,Sheet1,46,0,,1, 46 government of odisha smart waste segregation and recycling system hardware sih25046 clean & green technology sheet1...
43,Sheet1,45,0,,1," 45 government of odisha blockchain-based supply chain transparency for agricultural produce software sih25045 agriculture, foodtech & rural development sheet1..."
42,Sheet1,44,0,,1," 44 government of odisha al-powered crop yield prediction and optimization software sih25044 agriculture, foodtech & rural development sheet1..."
99,Sheet1,101,0,,1," 101 ministry of tribal affairs(mota) development of ai-powered fra atlas and webgis-based decision support system (dss) for integrated monitoring of forest rights act (fra) implementation. (states to be concentrated: madhya pradesh, tripura , odisha, telangana) software sih12508..."
